# class NDVI NDCI IRECI MTCI OTCI MCARI CI_RedEdge CI_GreenEdge TCARI OSAVI TCARI_OSAVI
0.000000 0.074184 0.053036 0.056372 0.106527 0.213055 0.015816 0.041852 0.567084 0.047447 0.070366 0.670898
0.000000 0.076029 0.056023 0.064015 0.150266 0.300533 0.017792 0.046787 0.617636 0.053376 0.075997 0.695163
0.000000 0.076399 0.054483 0.058863 0.120907 0.241814 0.015934 0.043732 0.607535 0.047803 0.072696 0.631440
0.000000 0.077780 0.053665 0.057065 0.122744 0.245488 0.015597 0.045535 0.583968 0.046790 0.072383 0.644721
0.000000 0.069544 0.051632 0.056719 0.098091 0.196183 0.015260 0.037471 0.572258 0.045780 0.067662 0.673988
0.000000 0.070780 0.051634 0.057746 0.104051 0.208102 0.014807 0.036849 0.596447 0.044421 0.067605 0.651735
0.000000 0.072232 0.053469 0.058947 0.116990 0.233981 0.015072 0.040263 0.627300 0.045215 0.070636 0.634885
0.000000 0.080775 0.055883 0.063009 0.173292 0.346583 0.014780 0.050099 0.705424 0.044341 0.077021 0.575293
0.000000 0.095765 0.060740 0.075301 0.282410 0.564819 0.015715 0.067704 0.854947 0.047146 0.089829 0.511887
0.000000 0.091416 0.058918 0.064614 0.236021 0.472041 0.014263 0.060149 0.792078 0.042789 0.083232 0.479962
0.000000 0.084579 0.056940 0.065322 0.206366 0.412733 0.014553 0.054608 0.746397 0.043659 0.079993 0.526831
0.000000 0.093443 0.061525 0.074135 0.242539 0.485079 0.016447 0.062290 0.848427 0.049340 0.088203 0.554125
3.000000 0.489226 0.202867 0.316600 1.856534 3.713069 0.045451 0.858458 2.133971 0.136352 0.390490 0.351094
3.000000 0.480181 0.216729 0.318513 1.589916 3.179831 0.056625 0.733597 1.960179 0.169875 0.390508 0.429103
2.000000 0.226971 0.100543 0.125868 0.898782 1.797564 0.028365 0.252815 1.102092 0.085095 0.183981 0.455904
3.000000 0.479343 0.202492 0.297619 1.943216 3.886431 0.042546 0.845236 2.050261 0.127639 0.379215 0.315943
2.000000 0.367664 0.159041 0.202975 1.267880 2.535761 0.041499 0.488783 1.615855 0.124497 0.291496 0.425675
2.000000 0.281016 0.113794 0.151344 1.323621 2.647242 0.029945 0.365189 1.195178 0.089836 0.224613 0.392186
1.000000 0.125606 0.060445 0.071977 0.296971 0.593942 0.016190 0.092342 0.737965 0.048569 0.096810 0.508363
2.000000 0.263070 0.111782 0.157334 1.125963 2.251926 0.033038 0.326037 1.144031 0.099114 0.216571 0.453761
